"filename", "language", "Vue", "JavaScript", "Markdown", "JSON", "HTML", "comment", "blank", "total"
"d:\czcfiles\code\vue-app\README.md", "Markdown", 0, 0, 15, 0, 0, 0, 5, 20
"d:\czcfiles\code\vue-app\package-lock.json", "JSON", 0, 0, 0, 13199, 0, 0, 1, 13200
"d:\czcfiles\code\vue-app\package.json", "JSON", 0, 0, 0, 36, 0, 0, 1, 37
"d:\czcfiles\code\vue-app\public\index.html", "HTML", 0, 0, 0, 0, 13, 0, 1, 14
"d:\czcfiles\code\vue-app\src\api\movie.js", "JavaScript", 0, 7, 0, 0, 0, 0, 1, 8
"d:\czcfiles\code\vue-app\src\api\rating.js", "JavaScript", 0, 6, 0, 0, 0, 0, 2, 8
"d:\czcfiles\code\vue-app\src\api\user.js", "JavaScript", 0, 27, 0, 0, 0, 0, 6, 33
"d:\czcfiles\code\vue-app\src\components\layout\Footer.vue", "Vue", -1, 0, 0, 0, 0, 0, 0, -1
"d:\czcfiles\code\vue-app\src\components\layout\Header.vue", "Vue", 3, 0, 0, 0, 0, 0, 0, 3
"d:\czcfiles\code\vue-app\src\main.js", "JavaScript", 0, 3, 0, 0, 0, 0, 0, 3
"d:\czcfiles\code\vue-app\src\router\index.js", "JavaScript", 0, 4, 0, 0, 0, 0, 0, 4
"d:\czcfiles\code\vue-app\src\utils\request.js", "JavaScript", 0, -7, 0, 0, 0, 7, 0, 0
"d:\czcfiles\code\vue-app\src\views\forum\articleList.vue", "Vue", 3, 0, 0, 0, 0, 0, 0, 3
"d:\czcfiles\code\vue-app\src\views\home\index.vue", "Vue", 171, 0, 0, 0, 0, 4, 0, 175
"d:\czcfiles\code\vue-app\src\views\me\index.vue", "Vue", -36, 0, 0, 0, 0, -12, -8, -56
"d:\czcfiles\code\vue-app\src\views\me\setting.vue", "Vue", -324, 0, 0, 0, 0, -9, -10, -343
"d:\czcfiles\code\vue-app\src\views\movie\all\index.vue", "Vue", 4, 0, 0, 0, 0, 0, 1, 5
"d:\czcfiles\code\vue-app\src\views\user\components\movieCommentItem.vue", "Vue", 78, 0, 0, 0, 0, 1, 2, 81
"d:\czcfiles\code\vue-app\src\views\user\components\ratingGraph.vue", "Vue", 26, 0, 0, 0, 0, 0, 2, 28
"d:\czcfiles\code\vue-app\src\views\user\index.vue", "Vue", 36, 0, 0, 0, 0, 12, 8, 56
"d:\czcfiles\code\vue-app\src\views\user\setting.vue", "Vue", 329, 0, 0, 0, 0, 9, 10, 348
"d:\czcfiles\code\vue-app\src\views\user\userCenter.vue", "Vue", 401, 0, 0, 0, 0, 62, 5, 468
"d:\czcfiles\code\vue-app\vue.config.js", "JavaScript", 0, 24, 0, 0, 0, 0, 2, 26
"Total", "-", 690, 64, 15, 13235, 13, 74, 29, 14120
