"filename", "language", "Vue", "JavaScript", "Markdown", "JSON", "HTML", "CSS", "XML", "comment", "blank", "total"
"d:\czcfiles\code\vue-app\README.md", "Markdown", 0, 0, 15, 0, 0, 0, 0, 0, 5, 20
"d:\czcfiles\code\vue-app\package-lock.json", "JSON", 0, 0, 0, 13199, 0, 0, 0, 0, 1, 13200
"d:\czcfiles\code\vue-app\package.json", "JSON", 0, 0, 0, 36, 0, 0, 0, 0, 1, 37
"d:\czcfiles\code\vue-app\public\index.html", "HTML", 0, 0, 0, 0, 13, 0, 0, 0, 1, 14
"d:\czcfiles\code\vue-app\src\App.vue", "Vue", 14, 0, 0, 0, 0, 0, 0, 0, 3, 17
"d:\czcfiles\code\vue-app\src\api\common.js", "JavaScript", 0, 13, 0, 0, 0, 0, 0, 0, 2, 15
"d:\czcfiles\code\vue-app\src\api\forum.js", "JavaScript", 0, 56, 0, 0, 0, 0, 0, 0, 8, 64
"d:\czcfiles\code\vue-app\src\api\movie.js", "JavaScript", 0, 59, 0, 0, 0, 0, 0, 0, 9, 68
"d:\czcfiles\code\vue-app\src\api\rating.js", "JavaScript", 0, 20, 0, 0, 0, 0, 0, 0, 4, 24
"d:\czcfiles\code\vue-app\src\api\recommendation.js", "JavaScript", 0, 37, 0, 0, 0, 0, 0, 0, 5, 42
"d:\czcfiles\code\vue-app\src\api\search.js", "JavaScript", 0, 14, 0, 0, 0, 0, 0, 0, 2, 16
"d:\czcfiles\code\vue-app\src\api\type.js", "JavaScript", 0, 7, 0, 0, 0, 0, 0, 0, 1, 8
"d:\czcfiles\code\vue-app\src\api\upload.js", "JavaScript", 0, 15, 0, 0, 0, 0, 0, 0, 2, 17
"d:\czcfiles\code\vue-app\src\api\user.js", "JavaScript", 0, 104, 0, 0, 0, 0, 0, 0, 17, 121
"d:\czcfiles\code\vue-app\src\assets\css\common.d1d257d3.css", "CSS", 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"d:\czcfiles\code\vue-app\src\assets\css\home.css", "CSS", 0, 0, 0, 0, 0, 1189, 0, 0, 245, 1434
"d:\czcfiles\code\vue-app\src\assets\css\iconfont.css", "CSS", 0, 0, 0, 0, 0, 136, 0, 0, 44, 180
"d:\czcfiles\code\vue-app\src\assets\css\iconfont.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"d:\czcfiles\code\vue-app\src\assets\css\movie-list.css", "CSS", 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
